twitterUsername,tweetText
ChrisMurphyCT,"RT @brianschatz: @ChrisMurphyCT @BetoORourke Murph, Beto, @JulianCastro this thing is going up again fast let's go! Like, maybe 750 bucks a..."
ChrisMurphyCT,"$133,000 raised so far today. Crazy awesome.

@BetoORourke says early voting is off the charts and both Biden and H... https://t.co/It118r2rXh"
ChrisMurphyCT,It didn't hit me until the 2 pt conversion. Realized I was routing for Washington to convert. https://t.co/fkOkzBQsg5
ChrisMurphyCT,"Hey @AdamSchiff weighing in! Thanks, friend. How bout some more California love for MJ from the rest of the delegat... https://t.co/zEKUrRTVm3"
ChrisMurphyCT,"RT @edokeefe: AD WATCH: One of four distinct @joebiden campaign ads airing during @nfl games today and tomorrow is called, ""The Blind Pig.""..."
ChrisMurphyCT,"RT @sarahnferris: ""We all expect that President Trump is going to play dirty,"" Sen. @ChrisMurphyCT tells reporters. 

Dems are putting out..."
ChrisMurphyCT,"Let me break down why @brianschatz and I are asking you to donate to MJ Hegar today.

She is down 3 pts.

But among... https://t.co/fzwecnuhmz"
ChrisMurphyCT,"RT @CoryBooker: Yes @brianschatz there is huge opportunity and urgency in Texas. We can win the Senate seat there.  
 
If you can, please c..."
ChrisMurphyCT,RT @BetoORourke: So grateful to see @brianschatz and @ChrisMurphyCT going all in for Texas and @mjhegar! Let's all pitch in and do our part...
ChrisMurphyCT,"RT @kumailn: I just donated to @mjhegar. If you can afford to, please do the same. Link below."
ChrisMurphyCT,"RT @ppppolls: Not only is Hegar within 3 points of Cornyn, she LEADS among voters who have heard of her.

What's aiding Cornyn is a 15 poin..."
ChrisMurphyCT,YES! This is where the money will go the furthest right now. Obviously a super expensive state so every dollar has... https://t.co/j3zhqRLOHT
ChrisMurphyCT,Yes. 2 weeks to go. Let's pick a state where 1) both the Senate and Presidential race are closing; and 2) they can... https://t.co/jKl8FFKbCc
ChrisMurphyCT,RT @brianschatz: Hey @ChrisMurphyCT just over two weeks left and I think we need to make a push today for a Senate seat that still needs mo...
ChrisMurphyCT,"RT @MollyJongFast: This is kind of amazing 
 https://t.co/04QOzeCJfF"
ChrisMurphyCT,RT @jaketapper: We're in a pandemic where officials need to communicate with the public. Among those we requested for @CNNSotu this morning...
ChrisMurphyCT,"Spin Doctors. Albany, October 92. 

I also saw Big Head Todd and the Monsters twice. Willingly. https://t.co/zxZcIsfmZn"
ChrisMurphyCT,"If it makes you feel better, keep believing Fauci and Redfield are in charge of #COVID19 response. 

But they aren'... https://t.co/5aOKsqFB1t"
ChrisMurphyCT,"This is what happens when our President is doing everything he can to spread the virus. 

He's dialing back testing... https://t.co/klzMWdtnP0"
ChrisMurphyCT,RT @ScottGottliebMD: Covid hospitalizations in the U.S. are steadily rising; an objective measure of increasing disease burden around the c...
ChrisMurphyCT,Accountability - @JahanaHayesCT provides her constituents with town by town statistics on casework and grants. (for... https://t.co/nMtzZnBQDj
ChrisMurphyCT,Wisconsin is experiencing a #COVID19 surge right now. And 8 of 10 attendees at Trump's rally today are wearing mask... https://t.co/yiqihhQncN
ChrisMurphyCT,It's a good thing the Red Sox traded Mookie. His best days were clearly behind him.  https://t.co/i6HQl5bMBW
ChrisMurphyCT,RT @PeteAbe: Imagine trading that guy.
ChrisMurphyCT,"RT @JessicaPost: This is an amazing update--thanks to all of you and Senators @brianschatz, @ChrisMurphyCT, @CoryBooker we have raised $500,..."
ChrisMurphyCT,"At big time sports schools, the two sports that make money are played by mostly Black students, and instead of the... https://t.co/RaEkVdDt7j"
ChrisMurphyCT,"RT @davidgura: In 1974, Joe Biden bought this house in Greenville, Delaware, for $185,000. 
 
He sold the property 24 years ago.
 
https://..."
ChrisMurphyCT,"Hey @brianschatz @CoryBooker @SenJeffMerkley Sundays are our blowout fundraising days, and we've effectively got 2... https://t.co/NdMleqVMGC"
ChrisMurphyCT,RT @dave_brown24: It's been a busy morning for the good people at @PerdueChicken https://t.co/dNANe7mtKe
ChrisMurphyCT,"Just checking back in to see if it's ""another time"" yet...

No? We're just going remain totally silent on the attem... https://t.co/eUBonWe2OV"
ChrisMurphyCT,"8/ And American media do have major credibility, for good reason. They do amazing work, and get most stories 100% r... https://t.co/14jWvAWrcc"
ChrisMurphyCT,7/ Why is it important for media to not simply pick this story up and amplify it? Why should we be offended that th... https://t.co/CEY79Md5qo
ChrisMurphyCT,"6/ Further, media don't need a Pulitzer to see the whole story as super fishy.

A pro-Trump computer repairman myst... https://t.co/pjXy60G7MJ"
ChrisMurphyCT,"5/ And you don't have to believe me. Believe the Department or Justice - Trump's own FBI is investigating the ""leak... https://t.co/iGA2ZZ5iQM"
ChrisMurphyCT,"4/ Whether he knows it or not, Giuliani is effectively a Russian asset now. It's almost certain that any anti-Biden... https://t.co/mbQyCe8im0"
ChrisMurphyCT,3/ Andriy Derkach was a top Russian agent. He was unmasked by the Treasury Dept this summer. Derkach and his team r... https://t.co/gL0puFhP0i
ChrisMurphyCT,2/ Russia knew it had to play a different game than 2016. So it built an operation to cull virulently pro-Trump Ame... https://t.co/rDk36L7bAi
ChrisMurphyCT,Joe Biden - and all of us - SHOULD be furious that media outlets are spreading what is very likely Russian propagan... https://t.co/xOY4vijZYN
ChrisMurphyCT,RT @QuickforNC: Thank you for supporting local races! Time to flip North Carolina- the most gerrymandered state in the country. Let's do th...
ChrisMurphyCT,David knows Kamala. He knows how to pronounce her name. This is awful. https://t.co/0K5clByzBo
ChrisMurphyCT,"RT @ossoff: My opponent, GOP Sen. David Perdue of anti-Semitic attack ad infamy, just mocked Sen. Harris' name as ""Kamala-mala-mala-whateve..."
ChrisMurphyCT,RT @jonkarl: SIREN! The Biden Town Hall on ABC drew 2.3 million more viewers than the Trump town hall on NBC. There is nothing @realDonaldT...
ChrisMurphyCT,Republicans who suddenly want to regulate the political content decisions of social media companies might find a lo... https://t.co/lr8ol3jZMK
ChrisMurphyCT,"So this is important. Mostly because once VOA loses its reputation for objectivity, and international viewers just... https://t.co/nOYL5VHmiP"
ChrisMurphyCT,Shocking. https://t.co/CffI0OKl4K
ChrisMurphyCT,Hello. Just a quick morning reminder that no private company is obligated under law to become an arm of Russian pro... https://t.co/MAXirW0BGR
ChrisMurphyCT,"Great job team - we beat our goal. 

2,067 donated $160,000 last night to help flip 10 state legislative chambers.... https://t.co/ANu0l2efwE"
ChrisMurphyCT,RT @seungminkim: .@ChrisMurphyCT is proposing new legislation to outlaw political pressure on journalists at the Voice of America and other...
ChrisMurphyCT,"RT @LorenzoForTexas: I'm grateful to Senators @brianschatz + @ChrisMurphyCT for amplifying donations to our campaign 

Texas has a long hi..."
ChrisMurphyCT,RT @CoryBooker: This may be one of THE MOST IMPORTANT things we can donate to this election @brianschatz and @ChrisMurphyCT - I hope people...
ChrisMurphyCT,Hey this is real folks. Call your friends in Alaska and get em moving. https://t.co/XEjgXFJUnN
ChrisMurphyCT,Actually thanks Hawaii bc we have until midnight Hawaii time - so 6am east coast time. But why wait until the liter... https://t.co/qo4v00kcUo
ChrisMurphyCT,Oh my gosh. Watch the other answer first and then watch Greenfield nail it. https://t.co/TOs5bcHlGx
ChrisMurphyCT,"RT @patrynard: While everyone's paying attention to the presidential town halls, the biggest moment in the #IASen race just happened in the..."
ChrisMurphyCT,We can't fix democracy if we don't end political gerrymandering. Dems get more votes in North Carolina than Republi... https://t.co/TcxDCSKZiR
ChrisMurphyCT,"Since we're reminiscing about our state legislative races @brianschatz, here's the cartoon that ran the day I annou... https://t.co/8ggdkjZ0yY"
ChrisMurphyCT,God we need this guy. https://t.co/yuRZpJcTwq
ChrisMurphyCT,"This is nuclear grade batshit. 

""People can decide"" whether Biden assassinated Navy SEALs to cover up the fake kil... https://t.co/U3xHmey7It"
ChrisMurphyCT,Hey @brianschatz this thing is moving fast. We just crossed $100K for the fund to flip 10 state legislative chamber... https://t.co/h2JFlN7f2z
ChrisMurphyCT,RT @brianschatz: Hey Twitter was down for a little bit but somehow we are at 90 grand for local candidates. Instead of hate-watching the Tr...
ChrisMurphyCT,RT @ConanOBrien: I can't remember the last time I was this shocked by an NBC programming decision.
ChrisMurphyCT,"The Texas statehouse is the holy grail. We win Texas, we undo their gerrymandered U.S. House map.

We need to flip... https://t.co/2pZgvq1BGS"
ChrisMurphyCT,"Tonight @brianschatz and I are asking you to do something different - to make our 2020 victory overwhelming. 

Help... https://t.co/dLU2IyA5d1"
ChrisMurphyCT,The return on investment here is OFF THE CHARTS. All the money we raise tonight gets split among 48 local races tha... https://t.co/ApZg5bd2TU
ChrisMurphyCT,Yeah state legislatures are where redistricting maps and voting laws are written. Dems have ignored these races for... https://t.co/ZtdExzRCrr
ChrisMurphyCT,We're listening... https://t.co/dDDcg1Y8wv
ChrisMurphyCT,"RT @AshleyAfonso: HAPPENING NOW: @ChrisMurphyCT holding news conference, he is calling Supreme Court Nominee Amy Coney Barrett a ""radical""..."
ChrisMurphyCT,"I wasn't sure so I checked. As it turns out, there is nothing in the Constitution that compels private companies to... https://t.co/J2sMOdXJNE"
ChrisMurphyCT,Got together w census advocates today in Meriden to encourage everyone who hasn't gone to https://t.co/n8cZBTnB53 t... https://t.co/rwfPvpwTae
ChrisMurphyCT,His recognition of Dairy Queen's greatness is reason enough to make him President. https://t.co/coeansGKXt
ChrisMurphyCT,Holy shit. https://t.co/ErzM1BKjSS
ChrisMurphyCT,"RT @GabbyGiffords: Mark never planned to be a senator, but he knows when it's time to serve. Serve his family, serve our country, and serve..."
ChrisMurphyCT,"Women couldn't vote. 
Slavery was legal. 
AR-15s and the internet and electric lights didn't exist. 

But originali... https://t.co/ss0g9tFcRg"
ChrisMurphyCT,Joined addiction treatment providers in Norwich today for an outdoor roundtable about the stakes of the Coney Barre... https://t.co/MND4hKuCpt
ChrisMurphyCT,"RT @pkcapitol: One key thing Mnuchin has missed: Eric Ueland. 
He was WH leg affairs director during 1st 4 covid relief bills, Mnuchin's Sh..."
ChrisMurphyCT,Spent some time at Generations community health center today in Willimantic. They are seeing a small spike in COVID... https://t.co/0A7IGebqDl
ChrisMurphyCT,"Proud of my friend [?]@JahanaHayesCT[?]. This is essential reading, folks. 

""We are left debating zoom security, yet n... https://t.co/NGVwq0AjXE"
ChrisMurphyCT,"When evaluating any information provided to anyone by Rudy Giuliani, just remember he's been parading around with a... https://t.co/xtF8RfIXo1"
ChrisMurphyCT,"a. 365 questions seems like a lot in 45 days. 

b. Does it matter that Trump has answered more if he's lying throug... https://t.co/wfn3bxLC28"
ChrisMurphyCT,"These stories about Trump's ""hectic"" ""marathon"" ""frenzied"" closing schedule drive me crazy. 

Sounds like he is doi... https://t.co/GrNnEJ5nGQ"
ChrisMurphyCT,Closing the race by making fun of seniors. Smart move. https://t.co/S08v9lnNiC
ChrisMurphyCT,Just a tour de force by [?]@SenWhitehouse[?] today. In this article is a link the most powerful 10 minutes. Watch it -... https://t.co/FxwZ6pjR7j
ChrisMurphyCT,RT @DeCAGV: Thrilled to hear from @CAGVNews @ChrisMurphyCT and Janet Rice. The loss of Janet's son Shane Oliver is a central focus of Senat...
ChrisMurphyCT,"RT @IrelandEmbUSA: Following their meetings with @simoncoveney in DC two weeks ago, we welcome Senators @PatToomey &amp; @ChrisMurphyCT's stron..."
ChrisMurphyCT,Cory was asking a specific question: Does she believe in the PEACEFUL transition of power - meaning forsaking the u... https://t.co/qw2egJkAvw
ChrisMurphyCT,"If you are pissed off at what Senate Republicans are doing on TV today, then we have one recourse - WIN THE SENATE.... https://t.co/LNiA13RCZ7"
ChrisMurphyCT,"Ok let's do it. 

Republicans are on TV today trying to compete the final act of destroying the Affordable Care Act... https://t.co/EoNVzxA4v8"
ChrisMurphyCT,"Hey @brianschatz the amount of $$ people did for Michigan was nuts. Thank you team. 

But Michigan's not the only f... https://t.co/Ljp9wQxkNj"
ChrisMurphyCT,RT @gdebenedetti: 3 minutes after the MICHIGAN tweet... https://t.co/bUZ1RDEJGz
ChrisMurphyCT,RT @ChrisCoons: Senator Lindsey Graham just opened the hearing to confirm Judge Barrett to the Supreme Court by attacking the Affordable Ca...
ChrisMurphyCT,Incredibly we are closing in on a half million dollars raised in just over 24 hours. A few more donations overnight... https://t.co/v151RECnjo
ChrisMurphyCT,My god. I'm so sorry Jahana. https://t.co/oFUkEa7S8c
ChrisMurphyCT,"Yesterday @brianschatz and I asked you to help our colleague Gary Peters in Michigan.

Well, NYT just released a... https://t.co/awRnF46Fkf"
ChrisMurphyCT,11/ That's why Republicans are rushing her nomination. The hearing on the case is the week after election day. They... https://t.co/khgR97N6Go
ChrisMurphyCT,10/ So Trump decided to take no chances when picking the deciding vote. Amy Coney Barrett is a no doubter. She is v... https://t.co/s9sZJuiQGq
ChrisMurphyCT,9/ Now the case is in front of SCOTUS. Alito and Thomas have already ruled against the ACA. Their votes are known.... https://t.co/sbyRlwyhSK
ChrisMurphyCT,"8/ Many thought the suit, Texas v. U.S., was bogus, but they underestimated McConnell and Trump's plan. Last Decemb... https://t.co/sjM91HS0Hz"
ChrisMurphyCT,"7/ Then, the court strategy began. 20 GOP AGs filed a suit alleging that the repeal of the mandate tax required the... https://t.co/b6xQK7EtlL"
ChrisMurphyCT,6/ Then McConnell began his campaign to pack the federal courts w anti-ACA ideologues who would rule against the AC... https://t.co/172y4Mul5d
ChrisMurphyCT,"5/ The plan began with tucking into the 2017 Trump tax bill a repeal of the individual mandate tax. Curiously, the... https://t.co/0ymRHSc9pZ"
