twitterUsername,tweetText
lisamurkowski,"On October 18, 1867, the Territory of Alaska was formally transferred from Russia to the United States. Today, over... https://t.co/8dZkCGLqNB"
lisamurkowski,"Hiking Mt. Baldy, Eagle River Valley-- beautiful weather and views--doesn't get much better than this! https://t.co/iWDw68RuMk"
lisamurkowski,"I'm glad that those who participate in Alaska's fisheries have an opportunity to provide feedback, and I thank ADFG... https://t.co/fgBcQQiduC"
lisamurkowski,"In May, the U.S. Secretary of Commerce announced $50M for fisheries assistance to Alaska that we provided through t... https://t.co/pAgzurtuV6"
lisamurkowski,"With passage of the continuing resolution, and winter weather quickly approaching, I joined @SenatorCollins and... https://t.co/K3KFYLXgIx"
lisamurkowski,Alaskans throughout the state who are concerned about their ability to pay to heat their homes rely on the Low-Inco... https://t.co/gpfbPyqfIL
lisamurkowski,Congrats to KYUK on receiving the 2020 National Edward R. Murrow award for Excellence in Video for Small Market Rad... https://t.co/a9qkUPtEhW
lisamurkowski,These new grants aim to improve student recruitment and retention and educational outcomes at Ilisagvik College and... https://t.co/zrJzfvj4VD
lisamurkowski,Great news for Tribal communities in Utqiagvik and Bethel Region: The @USDA National Institute of Food and Agricult... https://t.co/uZ033H3yvn
lisamurkowski,"Visionary Alaskans like Ted Stevens, Mary Jane Fate, Jacob Adams &amp; Byron Mallott are always w/ me, guiding me to do... https://t.co/XbHY1R5HiM"
lisamurkowski,Addressing the crisis of #MMIWG has long been a priority of mine. I'm proud of the headway we have made with Savann... https://t.co/3Gnhrs9K9M
lisamurkowski,I spoke on addressing inequality in our country. Whether it is through my work on the Voting Rights Advancement Act... https://t.co/OCB4SZhR0J
lisamurkowski,Impacts of #COVID19 &amp; the poor fish runs we've seen around Alaska have given many a laser focus on food security--wh... https://t.co/nzjKfMHQsr
lisamurkowski,Yesterday I spoke at the #2020AFN Virtual Convention--truly an important gathering. It was an opportunity for me to... https://t.co/G1JfriLUh5
lisamurkowski,"While we cannot be together in person this year, I reflect on the great conventions we've had in years past and the... https://t.co/sMKKY1XWgc"
lisamurkowski,"#ThrowbackThursday to previous AFN Conventions, an opportunity to come together to reconnect, laugh, dance at Quyan... https://t.co/KEEksbMLhC"
lisamurkowski,"The event may have gone virtual this year, but I'm confident the performances will be just as incredible as ever. https://t.co/c6OD4BSlxL"
lisamurkowski,Alaskans I encourage you to tune into the #2020AFN Convention at 6pm AKDT this evening for Quyana Alaska - an event... https://t.co/OSPe1OoLJS
lisamurkowski,"The AFN Convention is the event I look forward to most to each year. Switching from in-person to virtual, it has be... https://t.co/W1Op18ryVM"
lisamurkowski,Tune in at 11:45 AKDT as I speak at the #2020AFN Virtual Convention. Topics will include combating impacts of... https://t.co/jLmBjJ9AMU
lisamurkowski,.@RepElaineLuria and I urge @HASCDemocrats @HASCRepublicans @SASCDems @SASCMajority to include the bipartisan... https://t.co/62zLfodK0X
lisamurkowski,"While I continue to push to advance my bipartisan bill w/ @SenBrianSchatz, the 2020 Census Deadline Extensions Act,... https://t.co/b515IkSNi4"
lisamurkowski,I'm disappointed to see the Supreme Court order that the #2020Census count can be cut short while appeals move forw... https://t.co/dKbrqoGMjA
lisamurkowski,"Due to #COVID19, this year's event will be held virtually, but the importance of their agenda is in no way diminish... https://t.co/lIiGvCkNIX"
lisamurkowski,Tomorrow at 8AM AKDT the #2020AFN Convention kicks off--the largest annual gathering of Native peoples in the countr... https://t.co/PkuqxLVz0T
lisamurkowski,The announcement of these two grants is incredibly exciting news for Southeast and the Aleutians and will improve c... https://t.co/t6X3XqTrCr
lisamurkowski,Congrats to Unicom Inc. and AP&amp;T Wireless Inc. on receiving grants from the USDA Rural Utility Service's ReConnect... https://t.co/u5BrLcHl26
lisamurkowski,"Today @thenationalmall is hosting a virtual event as a tribute to the individuals, organizations and movements that... https://t.co/8gI3JnsiLo"
lisamurkowski,"In the coming weeks, my team and I will continue to work with @SteveDaines and @SenFeinstein on the Emergency Wildf... https://t.co/xVA7qd3EES"
lisamurkowski,"As the West experiences another devastating wildfire season, I appreciate the bipartisan solutions being put forwar... https://t.co/fixi0YP5sZ"
lisamurkowski,Today is the 245th birthday of the United States Navy! We are all so grateful for the men and women who have served... https://t.co/sIhGQjTAZ2
lisamurkowski,"I'm glad that I, as well as members of my staff, were able to take part in such a meaningful event.... https://t.co/EYKR5YcKlW"
lisamurkowski,"I rode my bike about 6 miles in honor of Ashley Johnson Barr, a 10 year old girl from Kotzebue who was taken from a... https://t.co/2phoGX3na9"
lisamurkowski,"This past week, Alaskans across the state took part in the MMIWG2S Alaska 5K: Run for Healing, Run for Justice. The... https://t.co/dFEKmnkNpm"
lisamurkowski,"Tune in to the @FirstAlaskans Elders and Youth Conference, which has gone virtual this year. While we can't be toge... https://t.co/6y1X4kGDDz"
lisamurkowski,"As the @EPA has outlined, this change will reduce economic burdens on industries nationwide, from agriculture to wa... https://t.co/esoGeKsXqc"
lisamurkowski,The recently proposed regulation by the @EPA of chitosan as a minimum risk pesticide will benefit both the environm... https://t.co/mvq8A5yxlx
lisamurkowski,Advancing these bills has been a top priority of mine and I applaud my Senate colleagues and the administration for... https://t.co/UJyAQQWbG0
lisamurkowski,"I'm proud that we've elevated this issue from raising awareness, to action--having created enduring policy to make r... https://t.co/1WEvX9I85Q"
lisamurkowski,"Today we've reached a huge milestone in our efforts to provide justice for victims, healing for their families, and... https://t.co/KyoxXaCnGR"
lisamurkowski,To our law enforcement officers: thank you for all you do every day to protect the lives of your fellow Americans.... https://t.co/7WqLW6QDU1
lisamurkowski,"This weekend marks the National Weekend of Remembrance, an event hosted by the @NLEMuseum to honor the members of l... https://t.co/JrSnkuHbmW"
lisamurkowski,I'm proud that MARAD announced a roughly $19.78M port infrastructure grant to improve the freight dock &amp; corridor i... https://t.co/xTk6Dom9Gg
lisamurkowski,"In May 2020, I joined @SenDanSullivan &amp; @repdonyoung   in a letter to the Department of Transportation in support o... https://t.co/P7mCIpBxZ3"
lisamurkowski,Pleased to announce that Alaska has received 6 @USDA Rural Development Grants totaling about $4.5M to support dista... https://t.co/Rm8bwYVTAm
lisamurkowski,"RT @WhiteHouse: As we enter the fall and winter seasons, Dr. Fauci advises all Americans to get their flu vaccines! https://t.co/afbupWlSfr"
lisamurkowski,It's important to note that the Congressional Budget Office has confirmed this legislation would not contribute to... https://t.co/Ftgwjokyhz
lisamurkowski,"Proud to join @SenCortezMasto &amp; @SenatorFischer as a cosponsor of the Circulating Collective Coin Redesign Act, all... https://t.co/oj7uTtYCQH"
lisamurkowski,"Being able to identify, develop, and monitor an improved response to PFAS contamination and its clean-up is going t... https://t.co/wHI0SmmBcO"
lisamurkowski,Proud to join @SenatorShaheen on a bipartisan letter urging SASC &amp; HASC leadership to include provisions in the fin... https://t.co/fg0zj74of4
lisamurkowski,The @IRSnews extended the deadline for non-filers to request #COVID19 federal economic stimulus payments until Nove... https://t.co/PbIVXKw3o4
lisamurkowski,Took a bike ride around Pt. Woronzof in Anchorage--the moose gave me the right of way. #OnlyInAlaska https://t.co/VvPXg3piMG
lisamurkowski,"As more Americans receive their flu vaccinations, we're urging the Administration to closely monitor the rate at wh... https://t.co/9smKtnN2bz"
lisamurkowski,"Vaccines are most effective when enough people are immunized, which is essential for achieving herd immunity, and t... https://t.co/CFQFPNcisi"
lisamurkowski,"I recently joined my colleagues in a bipartisan letter, led by @SenatorCarper, to leaders of @HHSGov &amp; the @CDCgov... https://t.co/wO3XXVQMK5"
lisamurkowski,RT @_Arctic_Circle: The full video of the #ArcticCircleVIRTUAL Dialogue with  Senator @lisamurkowski is now on the @_Arctic_Circle's YouT...
lisamurkowski,I was so close in the #FatBearWeek competition --made it to the finals with my picks. Congratulations to 747. Next y... https://t.co/JtdmGYKBdR
lisamurkowski,HABs can have a devastating impact on ocean ecology and the shellfish industry. This funding will support monitorin... https://t.co/DPqIVrGaeh
lisamurkowski,"The continued funding will also benefit organizations like the Sitka Tribe of Alaska, who are receiving substantial... https://t.co/iql7J3Vkia"
lisamurkowski,"This includes new HAB awards for projects in Alaska and the Pacific Northwest, such as $200,000 for the Alaska Ocea... https://t.co/94UCkPuZ1t"
lisamurkowski,Studying and predicting harmful algal blooms (HABs) is critical to protect the health of marine ecosystems and Amer... https://t.co/oEg0mnWLDQ
lisamurkowski,https://t.co/YMalfR8rNN
lisamurkowski,Thanks for having me! I'm always happy to speak about the #Arctic and U.S. engagement in the region. https://t.co/zbjPpvtTim
